row_index,mode,top_sentence_id,sent_abs_mass,total_abs_mass,top_sentence_share
72,T2T,0,1.000000029336661,1.000000029336661,1.0
73,IAF_SM2T,0,1.0000000353902578,1.0000000353902578,1.0
73,ITF_SM2T,0,0.9999999855645001,0.9999999855645001,1.0
73,SM2T,0,1.0000000093132257,1.0000000093132257,1.0
73,T2T,0,0.9999999469146132,0.9999999469146132,1.0
74,IAF_SM2T,0,0.5798539984971285,1.0000000083819032,0.5798539936368484
74,ITF_SM2T,0,1.0000000265426934,1.0000000265426934,1.0
74,SM2T,0,1.0000000121071935,1.0000000121071935,1.0
74,T2T,0,0.9999999649007805,0.9999999649007805,1.0
75,IAF_SM2T,0,1.0000000144355,1.0000000144355,1.0
75,ITF_SM2T,0,0.9999999582068995,0.9999999582068995,1.0
75,SM2T,0,0.9999999813735485,0.9999999813735485,1.0
75,T2T,0,0.9999999781139195,0.9999999781139195,1.0
76,IAF_SM2T,0,0.6674152947962284,0.9999999776482582,0.6674153097141231
76,ITF_SM2T,0,1.0000000521540642,1.0000000521540642,1.0
76,SM2T,0,0.9999999795109034,0.9999999795109034,1.0
76,T2T,0,1.0000000051222742,1.0000000051222742,1.0
77,IAF_SM2T,0,1.0000000572763383,1.0000000572763383,1.0
77,ITF_SM2T,1,0.6117348298430443,0.9999999962747097,0.6117348321219341
77,SM2T,0,1.0000000409781933,1.0000000409781933,1.0
77,T2T,0,0.9999999441788532,0.9999999441788532,1.0
78,IAF_SM2T,0,0.9999999580904841,0.9999999580904841,1.0
78,ITF_SM2T,0,1.0000000246800482,1.0000000246800482,1.0
78,SM2T,0,1.000000058207661,1.000000058207661,1.0
78,T2T,0,0.9999999545980245,0.9999999545980245,1.0
79,IAF_SM2T,0,1.000000024214387,1.000000024214387,1.0
79,ITF_SM2T,0,0.617623820900917,0.9999999701976776,0.6176238393075418
79,SM2T,0,0.999999969266355,0.999999969266355,1.0
79,T2T,0,0.6267570070922375,1.0000000726431608,0.6267569615626307
80,IAF_SM2T,1,0.6477866712957621,1.000000050291419,0.6477866387176527
80,ITF_SM2T,0,1.000000037252903,1.000000037252903,1.0
80,SM2T,0,1.0000000977306627,1.0000000977306627,1.0
80,T2T,0,0.9999999534338713,0.9999999534338713,1.0
81,IAF_SM2T,0,1.0000000102445483,1.0000000102445483,1.0
81,ITF_SM2T,0,1.0000000360887498,1.0000000360887498,1.0
81,SM2T,0,0.999999962747097,0.999999962747097,1.0
81,T2T,0,1.0000000270083547,1.0000000270083547,1.0
82,IAF_SM2T,1,0.6172799877822399,0.9999999217689037,0.6172800360727339
82,ITF_SM2T,0,0.732365358620882,1.0000000158324838,0.7323653470257195
82,SM2T,0,0.9999999925494194,0.9999999925494194,1.0
82,T2T,0,1.000000020256266,1.000000020256266,1.0
83,IAF_SM2T,0,1.0000000298023224,1.0000000298023224,1.0
83,ITF_SM2T,0,0.9999999739229679,0.9999999739229679,1.0
83,SM2T,0,0.9999999925494194,0.9999999925494194,1.0
83,T2T,0,0.9999999767169356,0.9999999767169356,1.0
84,IAF_SM2T,0,1.0000000223517418,1.0000000223517418,1.0
84,ITF_SM2T,0,0.9999999031424522,0.9999999031424522,1.0
84,SM2T,0,1.0,1.0,1.0
84,T2T,0,1.0000000037252903,1.0000000037252903,1.0
85,IAF_SM2T,0,1.0000000035652192,1.0000000035652192,1.0
85,ITF_SM2T,1,0.5100475884974003,0.9999999720603228,0.5100476027479657
85,SM2T,0,1.0000000232830644,1.0000000232830644,1.0
85,T2T,0,1.0000000079162419,1.0000000079162419,1.0
86,IAF_SM2T,0,0.9999999552965164,0.9999999552965164,1.0
86,ITF_SM2T,0,1.0000000223517418,1.0000000223517418,1.0
86,SM2T,0,1.0000000237487257,1.0000000237487257,1.0
86,T2T,0,0.9999999515712261,0.9999999515712261,1.0
87,IAF_SM2T,0,1.0000000465661287,1.0000000465661287,1.0
87,ITF_SM2T,0,0.9999999458668754,0.9999999458668754,1.0
87,SM2T,0,0.9999999478459358,0.9999999478459358,1.0
87,T2T,0,1.0,1.0,1.0
88,IAF_SM2T,1,0.9356333131436259,0.9999999251449481,0.9356333831805114
88,ITF_SM2T,0,0.6139677036553621,0.9999999878928065,0.613967711088788
88,SM2T,0,0.9999999618157744,0.9999999618157744,1.0
88,T2T,0,1.0000000782310963,1.0000000782310963,1.0
89,IAF_SM2T,0,1.0000000833533704,1.0000000833533704,1.0
89,ITF_SM2T,0,0.9999999981373549,0.9999999981373549,1.0
89,SM2T,0,0.9999999748542905,0.9999999748542905,1.0
89,T2T,0,0.9999999701976776,0.9999999701976776,1.0
90,IAF_SM2T,0,0.9999999665888026,0.9999999665888026,1.0
