row_index,mode,near_audio_mean,far_audio_mean,near_far_ratio
50,ITF_SM2T,0.03169473819434643,0.043366066267481074,0.7308649578249274
51,IAF_SM2T,0.11593337543308735,0.07239543522397678,1.6013906826143338
51,ITF_SM2T,,,
52,IAF_SM2T,,,
52,ITF_SM2T,0.08349156969537337,0.08127881735563278,1.02722421918409
53,IAF_SM2T,0.0651571936905384,0.05585430562496185,1.1665563282958877
53,ITF_SM2T,0.08681459973255794,0.060886165127158165,1.4258510049010886
54,IAF_SM2T,0.16213775426149368,0.03272481635212898,4.95458102841243
54,ITF_SM2T,0.1311576950053374,0.06538974097929895,2.0057839813871325
55,IAF_SM2T,0.04735690914094448,0.03674105633623325,1.2889370601180339
55,ITF_SM2T,0.024482449516654015,0.033942732741707005,0.7212869306144585
56,IAF_SM2T,0.11810564746459325,0.08846892416477203,1.3349958596002396
56,ITF_SM2T,0.06501185645659764,0.08525763778015971,0.7625341042578592
57,IAF_SM2T,0.05843226875488957,0.054741360868016876,1.0674244817315406
57,ITF_SM2T,0.060368756116885275,0.03602099708384938,1.675932400612994
58,IAF_SM2T,0.04632776572058598,0.028526165522634983,1.624044622548436
58,ITF_SM2T,0.053693726658821106,0.06384887266904116,0.8409502691817298
59,IAF_SM2T,0.04031135514378548,0.059069300070405006,0.6824417268370494
59,ITF_SM2T,0.04028226621448994,0.006738427095115185,5.977992436500995
60,IAF_SM2T,0.1121424709757169,0.06894072021047275,1.6266507026866648
60,ITF_SM2T,0.05049952616294225,0.05512064408797484,0.9161635716996839
61,IAF_SM2T,0.08863308280706406,0.10753312334418297,0.8242398253657202
61,ITF_SM2T,0.060623222341140114,0.040666540851816535,1.4907395876268978
62,IAF_SM2T,0.04856345554192861,0.05745121774574121,0.8452989761854659
62,ITF_SM2T,0.036250561786194645,0.040983779239468277,0.8845099807291577
63,IAF_SM2T,0.03568833818038305,0.05511915199458599,0.6474761836546581
63,ITF_SM2T,0.015775971735517185,0.06347458606416528,0.24853997030120065
64,IAF_SM2T,0.050591918329397835,0.04299534831873395,1.176683532208465
64,ITF_SM2T,0.06296431024869283,0.031045293701546534,2.0281434877689075
65,IAF_SM2T,0.03519536120196184,0.04983852561563253,0.7061878489883767
65,ITF_SM2T,0.027966390053431194,0.048268843442201614,0.5793880287672419
66,IAF_SM2T,0.0330734807648696,0.059827870689332485,0.5528105945146716
66,ITF_SM2T,0.05810228238503138,0.041637055187796555,1.3954464868270797
67,IAF_SM2T,,,
67,ITF_SM2T,0.046235620665053524,0.03533884132048115,1.3083513475850335
68,IAF_SM2T,0.031017905101180077,0.04065020537624756,0.7630442408180598
68,ITF_SM2T,0.05145362267891566,0.052843582816421986,0.9736967089588014
69,IAF_SM2T,0.09618501489361127,0.14935794845223427,0.6439899308320235
69,ITF_SM2T,0.0735693983733654,0.046451352106837124,1.583794551395911
70,IAF_SM2T,0.0646445903306206,0.06913379079196602,0.9350650324413836
70,ITF_SM2T,0.061498248328765236,0.034803778760963015,1.766999174123488
71,IAF_SM2T,0.05669982234636942,0.0745980938275655,0.7600706591333519
