index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj,metric,pos
214,T2*,S2T,-0.181945275981738,0.86,99,100,-0.0018711714824430714,False,entropy,PRON
215,T2*,SF2T,4.058564006737277,<0.01,99,100,0.055654201568682865,True,entropy,PRON
216,T2*,SM2T,3.8565619777034823,<0.01,99,100,0.054146897633424215,True,entropy,PRON
217,T2*,S2S,-2.533069635322138,0.01,99,100,-0.023928761070474966,False,entropy,PRON
218,T2*,SF2S,1.46389491763432,0.15,99,100,0.017096459822918884,False,entropy,PRON
219,T2*,SM2S,2.465234403211846,0.02,99,100,0.030536367473323535,False,entropy,PRON
220,S2*,T2T,8.255493730472406,<0.01,99,100,0.10146793382519759,True,entropy,PRON
221,S2*,T2S,6.826266334497475,<0.01,99,100,0.10185765868787401,True,entropy,PRON
222,*2T,*2S,-3.7624837958990245,<0.01,99,100,-0.012626290394591842,True,entropy,PRON
223,*2T,T2S,5.874446911460716,<0.01,99,100,0.08038464060102588,True,entropy,PRON
224,*2T,S2S,-0.8041122983777454,0.42,99,100,-0.0034432870931505512,False,entropy,PRON
225,*2T,SF2S,5.420287485289231,<0.01,99,100,0.0375819338002433,True,entropy,PRON
226,*2T,SM2S,6.34107303069694,<0.01,99,100,0.05102184145064795,True,entropy,PRON
227,*2S,T2T,8.760935793061938,<0.01,99,100,0.09262120613294128,True,entropy,PRON
228,*2S,S2T,5.502059243201412,<0.01,99,100,0.03124059288947318,True,entropy,PRON
229,*2S,SF2T,8.496219775198693,<0.01,99,100,0.08876596594059913,True,entropy,PRON
230,*2S,SM2T,8.850050617556388,<0.01,99,100,0.08725866200534048,True,entropy,PRON
231,T2T,T2S,0.03293543351028505,0.97,99,100,0.00038972486267643656,False,entropy,PRON
232,T2T,S2T,-4.5049248129876025,<0.01,99,100,-0.0613806132434681,True,entropy,PRON
233,T2T,SF2T,-0.23851333830376334,0.81,99,100,-0.0038552401923421607,False,entropy,PRON
234,T2T,SM2T,-0.3143497998933383,0.75,99,100,-0.00536254412760082,False,entropy,PRON
235,T2T,S2S,-6.494461058998138,<0.01,99,100,-0.08343820283149998,True,entropy,PRON
236,T2T,SF2S,-2.937431304125516,<0.01,99,100,-0.042412981938106144,False,entropy,PRON
237,T2T,SM2S,-1.8801960019512474,0.06,99,100,-0.02897307428770149,False,entropy,PRON
238,T2S,S2T,-3.8625022866969205,<0.01,99,100,-0.061770338106144546,True,entropy,PRON
239,T2S,SF2T,-0.22775614524026272,0.82,99,100,-0.004244965055018597,False,entropy,PRON
240,T2S,SM2T,-0.30789107225724466,0.76,99,100,-0.005752268990277257,False,entropy,PRON
241,T2S,S2S,-5.385909382084751,<0.01,99,100,-0.08382792769417645,True,entropy,PRON
242,T2S,SF2S,-2.4746916462375497,0.02,99,100,-0.042802706800782575,False,entropy,PRON
243,T2S,SM2S,-1.664119933745782,0.1,99,100,-0.02936279915037793,False,entropy,PRON
244,S2T,S2S,-4.85315891632827,<0.01,99,100,-0.022057589588031893,True,entropy,PRON
245,S2T,SF2S,3.0252057671463737,<0.01,99,100,0.018967631305361957,False,entropy,PRON
246,S2T,SM2S,4.412861285458664,<0.01,99,100,0.032407538955766604,True,entropy,PRON
247,SF2T,SM2T,-0.1322333681225519,0.9,99,100,-0.0015073039352586604,False,entropy,PRON
248,SF2T,S2S,-8.445607499611464,<0.01,99,100,-0.07958296263915783,True,entropy,PRON
249,SF2T,SF2S,-3.8181265532952926,<0.01,99,100,-0.03855774174576398,True,entropy,PRON
250,SF2T,SM2S,-2.421458291921118,0.02,99,100,-0.02511783409535933,False,entropy,PRON
251,SM2T,S2S,-9.271998512566007,<0.01,99,100,-0.07807565870389918,True,entropy,PRON
