,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric
121,T2*,S2T,0.5244544219624377,0.6,324,325,0.009014525472441099,1.2524577702014126,3.042138423392917e-06,0.03,False,True,top_20_mass
122,T2*,SF2T,-9.680976816564685,<0.01,324,325,-0.21086853278679293,1.1506119939000339,5.012660860403602e-10,-0.54,True,True,top_20_mass
123,T2*,SM2T,-9.946203837498928,<0.01,324,325,-0.22156790847125368,1.1165321651921385,2.4489535085792497e-10,-0.55,True,True,top_20_mass
124,T2*,S2S,-0.41570636677284895,0.68,324,325,-0.007011888859364424,0.779136478799308,0.0001277002049872586,-0.02,False,True,top_20_mass
125,T2*,SF2S,-8.454659751090166,<0.01,324,325,-0.1921130528793823,0.436936708478187,4.638670277173842e-08,-0.47,True,True,top_20_mass
126,T2*,SM2S,-8.702147331275453,<0.01,324,325,-0.19968821527616623,0.8304292687211783,6.978305640864842e-10,-0.48,True,True,top_20_mass
127,S2*,T2T,-14.63856309387163,<0.01,324,325,-0.2610899532741275,-0.3992125874192549,0.00011078135936033338,-0.81,True,True,top_20_mass
128,S2*,T2S,-11.414603838984426,<0.01,324,325,-0.22836741874833458,0.1893923896263594,3.4873124354768698e-06,-0.63,True,True,top_20_mass
129,*2T,*2S,1.0138396891831543,0.31,422,423,0.010942434120706052,5.08672376317196,1.0351062389406098e-15,0.05,False,True,top_20_mass
130,*2T,T2S,-6.817113333166389,<0.01,342,343,-0.1309782613639419,1.0883737704673653,6.669386431294695e-10,-0.37,True,True,top_20_mass
131,*2T,S2S,-0.3788382150851067,0.71,404,405,-0.005323379665298069,1.684901417739904,2.2034524667855068e-07,-0.02,False,True,top_20_mass
132,*2T,SF2S,-11.397506060752516,<0.01,404,405,-0.21075966948195138,1.5471715729750635,1.537307172234213e-15,-0.57,True,True,top_20_mass
133,*2T,SM2S,-11.208585780188622,<0.01,404,405,-0.2119002318991237,1.8674706086384436,1.560999594679824e-17,-0.56,True,True,top_20_mass
134,*2S,T2T,-10.14058091323963,<0.01,342,343,-0.16820716785061107,1.4615414949759398,6.350462963741254e-08,-0.55,True,True,top_20_mass
135,*2S,S2T,-0.7184821791288437,0.47,404,405,-0.01004936337946034,2.063805153410166,7.54717047085949e-11,-0.04,False,True,top_20_mass
136,*2S,SF2T,-10.956014021672214,<0.01,404,405,-0.21464461562866846,1.547940907678508,1.142534976201166e-17,-0.54,True,True,top_20_mass
137,*2S,SM2T,-12.94319731500527,<0.01,404,405,-0.24051448500508768,2.4257883576151418,1.0495202802914936e-18,-0.64,True,True,top_20_mass
138,T2T,T2S,1.7954480687356487,0.07,342,343,0.03144490126655795,4.466855584835344,4.5935880492582725e-21,0.1,False,True,top_20_mass
139,T2T,S2T,8.571794451600264,<0.01,324,325,0.17267392256336,0.6414703683944127,1.1447441178318239e-05,0.48,True,True,top_20_mass
140,T2T,SF2T,-1.993624550261962,0.05,324,325,-0.04720913569587397,1.0262249710305644,1.147980551313265e-11,-0.11,False,True,top_20_mass
141,T2T,SM2T,-2.4260648776894325,0.02,324,325,-0.05790851138033477,1.103032448835223,2.6604078511373377e-12,-0.13,False,True,top_20_mass
142,T2T,S2S,8.037812641754295,<0.01,324,325,0.15664750823155446,0.4443573490253847,1.6131312233821147e-05,0.45,True,True,top_20_mass
143,T2T,SF2S,-1.109347669894885,0.27,324,325,-0.028453655788463393,0.68073315216057,2.7356527661197976e-12,-0.06,False,True,top_20_mass
144,T2T,SM2S,-1.4395092543943113,0.15,324,325,-0.036028818185247335,0.8489989974609164,1.4526586311152675e-12,-0.08,False,True,top_20_mass
145,T2S,S2T,6.722839600668198,<0.01,324,325,0.13995138803756704,0.7336679821799161,2.368989210215016e-06,0.37,True,True,top_20_mass
146,T2S,SF2T,-3.4353893838929364,<0.01,324,325,-0.0799316702216669,1.1091639588773408,6.158761320038298e-12,-0.19,False,True,top_20_mass
147,T2S,SM2T,-3.9122809164217043,<0.01,324,325,-0.09063104590612772,1.2227581946610684,2.5310892829420303e-12,-0.22,True,True,top_20_mass
148,T2S,S2S,5.805705815912301,<0.01,324,325,0.12392497370576155,0.8069599190092593,1.8509626689033668e-06,0.32,True,True,top_20_mass
149,T2S,SF2S,-2.4082718624475636,0.02,324,325,-0.06117619031425634,0.7218485554031004,4.7915241048811545e-12,-0.13,False,True,top_20_mass
150,T2S,SM2S,-2.9375831756516297,<0.01,324,325,-0.06875135271104028,1.291321004243641,3.3239023323253907e-13,-0.16,False,True,top_20_mass
