,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric
124,T2T,S2T,0.6478475668468271,0.52,99,100,0.009884461041441321,0.3317092046417094,0.103243404089551,0.06,False,False,top_20_mass
125,T2T,SF2T,-1.510044804905326,0.13,99,100,-0.02518910578329385,0.14761762708322035,0.04972742685953057,-0.15,False,True,top_20_mass
126,T2T,SM2T,-1.2798420486634987,0.2,99,100,-0.02342630388234599,-0.28781705212524544,0.8262950283940084,-0.13,False,False,top_20_mass
127,T2T,S2S,4.1392079882122825,<0.01,99,100,0.06026620295005247,0.4429861253277547,0.021256502890190217,0.41,True,True,top_20_mass
128,T2T,SF2S,2.135303117587396,0.04,99,100,0.03253647844945154,0.5588770937038579,0.4372353844187954,0.21,False,False,top_20_mass
129,T2T,SM2S,0.7256530692139644,0.47,99,100,0.012909569505182027,0.7052053864026293,0.01717084858172067,0.07,False,True,top_20_mass
130,T2S,S2T,0.1395107265645276,0.89,99,100,0.0023507307655224073,1.7711016789171357,0.0012067622762603645,0.01,False,True,top_20_mass
131,T2S,SF2T,-1.723633569108741,0.09,99,100,-0.03272283605921276,0.9503944529734554,0.019830510559698488,-0.17,False,True,top_20_mass
132,T2S,SM2T,-1.6312622670718995,0.11,99,100,-0.030960034158264906,1.1266390083476,0.04477702528808495,-0.16,False,True,top_20_mass
133,T2S,S2S,3.2292765385688256,<0.01,99,100,0.05273247267413354,1.1298932968865198,0.1042316395236934,0.32,False,False,top_20_mass
134,T2S,SF2S,1.374986062770921,0.17,99,100,0.025002748173532624,0.7555310052497326,0.339430194581188,0.14,False,False,top_20_mass
135,T2S,SM2S,0.2866296404601398,0.77,99,100,0.005375839229263107,1.1872790276136254,0.05147697572141333,0.03,False,False,top_20_mass
136,S2T,S2S,5.883476403293182,<0.01,99,100,0.05038174190861114,-0.0795268944206069,0.056932463574269225,0.59,True,False,top_20_mass
137,S2T,SF2S,2.0147016810746483,0.05,99,100,0.022652017408010226,0.8714444715674929,0.260856555081238,0.2,False,False,top_20_mass
