mode,language,group,mean,gini,top_20_mass,max,entropy
SM2T,en,clausal_structure,0.12904337379395178,0.41806225442584394,0.4868358298327253,0.364215612411499,0.8954538282670638
SM2T,en,core_structure,0.12353430652240319,0.42883706453742954,0.47282860833535667,0.5717074871063232,0.9184765108301358
SM2T,en,coordination,0.0952133225897948,0.37159035928942247,0.44958833542145155,0.19687478244304657,0.8936849108186985
SM2T,en,function_words,0.09451153873849441,0.4012287527591075,0.42685192516161935,0.3667634427547455,0.9339084774043946
SM2T,en,arguments,0.09330161273967297,0.4826124056501013,0.5638282977048178,0.3820876479148865,0.8636130437283569
SM2T,en,modifiers,0.08512485460057084,0.44588955459871354,0.45581012190494213,0.37109142541885376,0.9102869249327744
SM2T,en,punctuation,0.07036451149601923,0.30323348400944694,0.3522747767945583,0.15013404190540314,0.9544651135430166
SM2T,en,generic,0.05890632979571819,0.3843459083865571,0.8843465608561808,0.10418722033500671,0.5167363849906742
SM2T,es,core_structure,0.10167816561190601,0.45433424580948273,0.47806979196368227,0.37277865409851074,0.9062281816482481
SM2T,es,function_words,0.09702175889408567,0.4138859877873697,0.43409005041649074,0.36307787895202637,0.9327480154367738
SM2T,es,modifiers,0.0856864283060921,0.4664104375472483,0.5115858910884596,0.3289158046245575,0.9039021861245712
SM2T,es,coordination,0.08418177347630262,0.2988447860729134,0.38943504718162086,0.16156591475009918,0.9418211388668613
SM2T,es,punctuation,0.08073706668204604,0.4191610621203295,0.4418714430634703,0.26881423592567444,0.9131368162450918
SM2T,es,clausal_structure,0.06725180819630623,0.5107737692244709,0.5084226355115878,0.267208993434906,0.8214526601074045
SM2T,es,arguments,,,,,
SM2T,es,generic,,,,,
SM2T,fr,clausal_structure,0.12899588027762043,0.3930760430202052,0.46763579921269566,0.4298095405101776,0.9210104229699206
SM2T,fr,generic,0.1087594173848629,0.20260841460419798,0.33703653240777753,0.18327948451042175,0.9564209390047925
SM2T,fr,punctuation,0.10196401742532064,0.3180875624711526,0.37597395669641126,0.21654079854488373,0.9403910908161732
SM2T,fr,function_words,0.09730892272365063,0.4167402194178366,0.44367275784700194,0.40552887320518494,0.9287904480431204
SM2T,fr,coordination,0.09269362552599474,0.3959548886395284,0.5506300780711155,0.25780755281448364,0.8911855313788621
SM2T,fr,core_structure,0.09226032983445163,0.4743106715566721,0.4896179637104917,0.3791769742965698,0.8942281720888342
SM2T,fr,modifiers,0.08113289598206228,0.3857425365141746,0.4224560142016532,0.28410041332244873,0.9317108741194153
SM2T,fr,arguments,,,,,
