index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric,pos,level_0,Lang_1,Lang_2
8,T2T,SM2T,-3.2518790863433944,<0.01,26.0,27.0,-0.04757645445421249,1.5474241170768277,0.11482886216583447,-0.63,False,False,mean,DET,,fr,fr
9,SF2T,SM2T,0.7829990537256963,0.44,22.0,23.0,0.0185186547105727,1.4478290039642978,0.2677148119532513,0.16,False,False,mean,DET,,en,en
10,SF2T,SM2T,0.04053362422409815,0.97,26.0,27.0,0.0006094709829927457,0.853762861120217,0.03406030788985147,0.01,False,True,mean,DET,,es,es
11,SF2T,SM2T,-0.3563166040681695,0.72,26.0,27.0,-0.006873087639586976,6.976837144267186,4.678637992690424e-05,-0.07,False,True,mean,DET,,fr,fr
12,T2T,S2T,-2.1297626126099507,0.04,22.0,23.0,-0.1225175542164517,-0.5281016020768492,0.1893911524300955,-0.44,False,False,gini,DET,,en,en
13,T2T,SF2T,2.1617570705231866,0.04,22.0,23.0,0.07963250637314974,1.0905550464081841,9.939460008009014e-06,0.45,False,True,gini,DET,,en,en
14,T2T,SM2T,1.4444243336142044,0.16,22.0,23.0,0.05282307204428396,1.3029734308107992,8.259463532646956e-05,0.3,False,True,gini,DET,,en,en
15,T2T,S2T,-1.6046388621697558,0.12,26.0,27.0,-0.0685337627471631,0.1332023127337223,0.6944893508021974,-0.31,False,False,gini,DET,,es,es
16,T2T,SF2T,1.5859024464947777,0.12,26.0,27.0,0.04692017624294662,1.814829847461155,0.00022530732822923378,0.31,False,True,gini,DET,,es,es
17,T2T,SM2T,1.1910605010831403,0.24,26.0,27.0,0.04209400618989124,1.5817338564306596,0.0010614346534926948,0.23,False,True,gini,DET,,es,es
18,T2T,S2T,-0.2303159157927879,0.82,26.0,27.0,-0.009101782698470971,0.2301021566927841,0.9554109265232004,-0.04,False,False,gini,DET,,fr,fr
19,T2T,SF2T,3.1849924243355408,<0.01,26.0,27.0,0.09889816362053824,-0.4171051421664891,0.6733137847986659,0.61,False,False,gini,DET,,fr,fr
20,T2T,SM2T,2.771144443698116,0.01,26.0,27.0,0.09210635790517242,0.27668751124552715,0.7720677527987905,0.53,False,False,gini,DET,,fr,fr
21,SF2T,SM2T,-1.3666846253713187,0.19,22.0,23.0,-0.026809434328865768,3.4064934277375354,1.698683432105373e-05,-0.28,False,True,gini,DET,,en,en
